"","STATUS_PANTINUM","STATUS_GOLD","STATUS_SILVER","NUM_DEAL","LAST_DEAL","ADVANCE_PURCHASE","FARE_L_Y1","FARE_L_Y3","FARE_L_Y4","FARE_L_Y5","POINTS_L_Y1","POINTS_L_Y2","POINTS_L_Y3","POINTS_L_Y4","POINTS_L_Y5","CALL_FLAG","BENEFIT_FLAG","BUYER_FLAG"
"1",0,0,0,4,36,19,130,133,128,134,193.2,203.7,159.9,154.8,157.7,0,0,"0"
"2",0,0,0,11,0,29,171,188,177,158,230.7,230.5,236,161.9,106.8,0,0,"0"
"3",0,0,0,3,44,12,141,126,133,123,156,148.9,167.6,119.8,71,0,0,"0"
"4",0,0,0,4,36,18,125,130,130,137,120.7,156.8,177,171.1,139,0,0,"0"
"5",0,0,1,5,40,21,172,180,188,183,249.7,213.2,184,226.6,192.5,0,1,"0"
"6",0,1,0,5,60,28,293,293,298,310,300.2,341.6,315.2,363.4,336.5,0,1,"0"
"7",0,0,0,3,40,21,118,119,125,131,137.3,90.5,120,142.6,153.1,0,0,"0"
"8",0,0,0,4,32,21,128,122,120,127,152.3,138.4,156.1,121.1,166,0,0,"0"
"9",0,1,0,3,140,27,412,423,430,409,324.1,327.2,350.5,346.4,342,0,1,"0"
"10",0,0,1,2,136,30,277,276,299,285,254.7,289.2,287.4,307.2,336,0,1,"0"
"11",0,0,0,4,36,23,130,138,136,126,120.2,81.9,113,83,89.5,0,0,"0"
"12",0,1,0,5,60,26,287,291,291,302,328.1,347.8,364.7,315.3,325.3,0,0,"0"
"13",0,0,0,3,48,9,131,147,151,143,134.8,147.7,138.2,168.7,148.5,0,0,"0"
"14",0,0,0,8,24,17,163,185,176,176,177.3,167,170.3,180.8,162.1,0,0,"0"
"15",0,0,0,0,0,27,172,176,175,178,173,181.2,197.5,182.1,209,0,0,"0"
"16",0,0,1,6,44,24,255,256,259,265,285.1,263.5,223.3,250.6,262.5,0,1,"0"
"17",0,0,0,4,52,30,214,220,203,189,168.8,170.4,182.2,190.9,186.7,0,0,"0"
"18",0,0,1,7,28,24,177,187,178,177,196.5,252.9,238.4,166.2,155.4,0,1,"0"
"19",0,0,1,6,32,26,186,192,190,215,229.8,177.6,183,244.8,244,0,0,"1"
"20",0,0,1,3,68,24,188,204,204,202,297,275.6,195.8,155.9,154.2,0,0,"0"
"21",0,0,0,2,84,17,254,160,161,124,187.3,171.5,148.2,145.2,108,0,0,"0"
"22",0,0,1,6,52,25,281,289,289,287,290,321.6,320.3,306.2,257.5,0,0,"0"
"23",0,0,0,5,32,16,154,145,144,144,177.3,157.4,151.5,171.2,186.4,0,0,"0"
