"ID","BUYER_FLAG"
45001,0
45002,0
45003,1
45004,0
45005,0
45006,1
45007,0
45008,1
45009,0
45010,1
45011,1
45012,0
45013,0
45014,1
45015,1
45016,0
45017,1
45018,1
45019,0
45020,0
45021,1
45022,0
45023,0
45024,0
45025,0
45026,1
45027,0
45028,1
45029,0
45030,0
45031,0
45032,1
45033,0
45034,0
45035,1
45036,0
45037,0
45038,1
45039,1
45040,0
45041,1
45042,1
45043,0
45044,0
45045,0
45046,1
45047,1
45048,0
45049,1
45050,1
45051,0
45052,0
45053,0
45054,1
45055,1
45056,0
45057,1
45058,0
45059,1
45060,1
45061,0
45062,0
45063,0
45064,1
45065,0
45066,0
45067,1
45068,0
45069,0
45070,0
45071,0
45072,0
45073,1
45074,0
45075,0
45076,1
45077,1
45078,0
45079,0
45080,0
45081,0
45082,0
45083,0
45084,0
45085,0
45086,1
45087,1
45088,0
45089,1
45090,0
45091,0
45092,0
45093,0
45094,0
45095,1
45096,1
45097,0
45098,0
45099,0
45100,1
45101,0
45102,1
45103,1
45104,0
45105,0
45106,1
45107,1
45108,0
45109,0
45110,0
45111,0
45112,0
45113,1
45114,0
45115,0
45116,0
45117,0
45118,0
45119,0
45120,0
45121,0
45122,1
45123,0
45124,1
45125,0
45126,0
45127,1
45128,0
45129,0
45130,0
45131,0
45132,1
45133,1
45134,0
45135,0
45136,1
45137,1
45138,0
45139,0
45140,0
45141,0
45142,0
45143,1
45144,0
45145,0
45146,0
45147,1
45148,1
45149,0
45150,1
45151,1
45152,1
45153,0
45154,0
45155,0
45156,0
45157,0
45158,1
45159,1
45160,0
45161,0
45162,0
45163,0
45164,0
45165,0
45166,0
45167,0
45168,0
45169,1
45170,1
45171,0
45172,0
45173,0
45174,0
45175,1
45176,0
45177,0
45178,1
45179,0
45180,0
45181,0
45182,0
45183,1
45184,1
45185,1
45186,0
45187,0
45188,1
45189,1
45190,0
45191,0
45192,1
45193,0
45194,1
45195,0
45196,0
45197,0
45198,1
45199,0
45200,1
45201,0
45202,0
45203,0
45204,0
45205,1
45206,1
45207,0
45208,0
45209,1
45210,0
45211,0
45212,1
45213,0
45214,1
